Week,Ethereum: (Worldwide)
3/19/2017,10
3/26/2017,9
4/2/2017,7
4/9/2017,7
4/16/2017,6
4/23/2017,10
4/30/2017,18
5/7/2017,14
5/14/2017,16
5/21/2017,48
5/28/2017,38
6/4/2017,45
6/11/2017,76
6/18/2017,56
6/25/2017,56
7/2/2017,35
7/9/2017,42
7/16/2017,40
7/23/2017,27
7/30/2017,25
8/6/2017,31
8/13/2017,31
8/20/2017,28
8/27/2017,32
9/3/2017,31
9/10/2017,27
9/17/2017,23
9/24/2017,19
10/1/2017,18
10/8/2017,23
10/15/2017,28
10/22/2017,23
10/29/2017,27
11/5/2017,31
11/12/2017,28
11/19/2017,42
11/26/2017,68
12/3/2017,76
12/10/2017,100
12/17/2017,89
12/24/2017,57
12/31/2017,73
1/7/2018,98
1/14/2018,79
1/21/2018,47
1/28/2018,48
2/4/2018,44
2/11/2018,30
2/18/2018,26
2/25/2018,22
3/4/2018,21
3/11/2018,21
