Week,Litecoin: (Worldwide)
3/19/2017,1
3/26/2017,1
4/2/2017,2
4/9/2017,2
4/16/2017,1
4/23/2017,2
4/30/2017,3
5/7/2017,4
5/14/2017,3
5/21/2017,5
5/28/2017,3
6/4/2017,8
6/11/2017,8
6/18/2017,7
6/25/2017,4
7/2/2017,5
7/9/2017,4
7/16/2017,4
7/23/2017,3
7/30/2017,4
8/6/2017,4
8/13/2017,4
8/20/2017,5
8/27/2017,11
9/3/2017,8
9/10/2017,6
9/17/2017,4
9/24/2017,4
10/1/2017,3
10/8/2017,5
10/15/2017,5
10/22/2017,4
10/29/2017,5
11/5/2017,7
11/12/2017,7
11/19/2017,9
11/26/2017,21
12/3/2017,32
12/10/2017,100
12/17/2017,54
12/24/2017,27
12/31/2017,25
1/7/2018,21
1/14/2018,17
1/21/2018,11
1/28/2018,12
2/4/2018,12
2/11/2018,17
2/18/2018,16
2/25/2018,9
3/4/2018,7
3/11/2018,6
