Date,Queries,Range,Snippet
2/7/2018,Ethereum,2018-02-01 - 2018-02-08,"Forbes published its first list of the wealthiest cryptocurrency holders, even as recent price declines have shrunk the value of their fortunes."
2/5/2018,Ethereum,2018-02-01 - 2018-02-08,"Stock investors have endured a number of big drops over past three decades. Monday’s sell-off, on a percentage basis, isn’t close to the worst."
2/3/2018,Blockchain,2018-01-29 - 2018-02-05,Our film critics have chosen 28 essential movies in honor of Black History Month. Cryptocurrency entrepreneurs are looking to create a haven in Puerto Rico. They were Super Bowl heroes; then they weren’t. And other great stories.
2/3/2018,Crypto,2018-01-29 - 2018-02-05,"The actor, now 59, muses on Trump, Weinstein and the perhaps overenthusiastic flaying of Matt Damon."
2/2/2018,Blockchain,2018-01-29 - 2018-02-05,"Dozens of entrepreneurs, made newly wealthy by virtual currencies, have moved to the island to avoid taxes on their fortunes — and to build a society that runs on blockchain."
2/2/2018,Virtual Currencies,2018-01-29 - 2018-02-05,The pending replacement of four directors is only the latest in a series of punishments that the bank has taken for its lending practices.
2/1/2018,Bitcoin,2018-01-29 - 2018-02-05,"Apple reported record profit and sales, Amazon easily beat expectations, and Google-parent Alphabet posted a loss because of the new tax law."
2/1/2018,Blockchain,2018-01-29 - 2018-02-05,From reality-show drag queens to the Bitcoin bubble – here’s how the latest in culture and tech fits into the Australian discussion.
1/31/2018,Crypto,2018-01-29 - 2018-02-05,"David Loeb Weiss’s 1968 documentary, “No Vietnamese Ever Called Me Nigger,” conveys the anger of black antiwar protesters."
1/31/2018,Bitcoin,2018-01-29 - 2018-02-05,Facebook tried to soothe concerns that fixing the social media giant will hit its bottom line.
1/31/2018,Crypto,2018-01-29 - 2018-02-05,"From Russian propaganda to tech addiction, the incentives and excesses of the digital ad business are the cause of much of what ails online discourse."
1/31/2018,Bitcoin,2018-01-29 - 2018-02-05,"When the price of Bitcoin goes down, activity on an influential exchange pumps it back up. That has investors and regulators asking questions."
1/30/2018,Blockchain,2018-01-29 - 2018-02-05,"Berkshire Hathaway, JPMorgan Chase and Amazon are teaming up to form an independent health care company to serve their employees."
1/30/2018,Bitcoin,2018-01-29 - 2018-02-05,The social network said it wanted to prevent misleading or deceptive promotional practices.
1/30/2018,Bitcoin,2018-01-29 - 2018-02-05,What’s a 130-year-old photo company doing dabbling in cryptocurrency? Either revolutionizing digital rights management or trying to make a quick buck.
1/29/2018,Bitcoin,2018-01-29 - 2018-02-05,It’s a mania! It’s a cult! It’s Bitcoin!
1/29/2018,Virtual Currencies,2018-01-29 - 2018-02-05,JPMorgan Chase named Daniel Pinto and Gordon Smith as co-presidents and co-chief operating officers.
1/17/2018,Ethereum,2018-01-14 - 2018-01-21,The price of one Bitcoin is down 50 percent from its peak as concerns grow that governments may crack down on virtual currency trading.
1/16/2018,Ethereum,2018-01-14 - 2018-01-21,"The conglomerate’s C.E.O., John Flannery, said that he was continuing to consider shifts in the company’s structure. That may not mean a big split."
1/16/2018,Ethereum,2018-01-14 - 2018-01-21,"Yes, it’s driven by greed — but the mania for cryptocurrency could wind up building something much more important than wealth."
1/11/2018,Bitcoin,2018-01-05 - 2018-01-12,The retailer’s move to improve the salaries and benefits for its workers is taking place amid a competitive hiring environment — and the new tax law.
1/10/2018,Cryptocurrencies,2018-01-05 - 2018-01-12,"Kodak went bankrupt by fumbling the shift to digital images. Now, it’s betting its future on an initial coin offering to help photographers sell their work."
1/10/2018,Bitcoin,2018-01-05 - 2018-01-12,"The Berkshire Hathaway head has named Greg Abel and Ajit Jain as vice chairmen, reviving speculation about his eventual successor as C.E.O."
1/9/2018,Bitcoin,2018-01-05 - 2018-01-12,"The company has gone from film cameras to digital money, as it becomes the latest to try and seize upon a fervor for all things crypto."
1/8/2018,Bitcoin,2018-01-05 - 2018-01-12,The push by two investors to have Apple give parents better controls over their children’s iPhones highlights the increasing backlash against tech companies.
1/5/2018,Crypto,2018-01-05 - 2018-01-12,"A co-founder of Ripple, a virtual currency, could briefly lay claim to being the world’s fifth richest person on Thursday, bypassing Mark Zuckerberg, as the Bitcoin boom widened."
1/5/2018,Bitcoin,2018-01-05 - 2018-01-12,"Before chasing Bitcoin or some other shiny thing, ask yourself this first: What are my financial goals? And does speculating fit within those goals?"
1/5/2018,Crypto,2018-01-05 - 2018-01-12,"Last year’s rally has shown few signs of slowing down in 2018. If anything, it appears to be gaining momentum."
1/5/2018,Bitcoin,2018-01-05 - 2018-01-12,"Our guide to stand-up, improv and variety shows."
1/5/2018,Crypto,2018-01-05 - 2018-01-12,Roger D. Hodge’s “Texas Blood” traces seven generations of his family through some of the borderland’s least forgiving terrain.
12/22/2017,Ethereum,2017-12-17 - 2017-12-25,"Just days after the price of Bitcoin nearly reached $20,000, the virtual currency was hit by a panicked sell-off. Reddit users posted suicide hotlines."
12/22/2017,Ethereum,2017-12-17 - 2017-12-25,"Michael Novogratz, the former Fortress executive, told Bloomberg that he was shelving plans for a cryptocurrency hedge fund and said bitcoin will fall to $8,000."
12/20/2017,Ethereum,2017-12-17 - 2017-12-25,"AT&T said it will pay a $1,000 bonus to more than 200,000 employees and would increase its capital expenditure budget for next year by $1 billion."
12/19/2017,Ethereum,2017-12-17 - 2017-12-25,Cameron and Tyler Winklevoss made a risky bet five years ago: They loaded up on Bitcoin. That stockpile is now worth around $1.3 billion.
12/19/2017,Ethereum,2017-12-17 - 2017-12-25,The virtual currency stockpile that Cameron and Tyler Winklevoss began amassing in 2012 is now worth around $1.65 billion. They have no plans to sell.
12/18/2017,Bitcoin,2017-12-12 - 2017-12-19,The $99 electric multicooker has hundreds of thousands of fans — including me.
12/18/2017,Bitcoin,2017-12-12 - 2017-12-19,"Widespread use of Venmo, Uber et al mean less money in the pockets of Park Avenue doormen, manicurists and other workers."
12/16/2017,Bitcoin,2017-12-12 - 2017-12-19,"Although tempting opportunities might come to fruition in 2018, tax advisers suggest waiting until the consensus bill becomes law."
12/15/2017,Bitcoin,2017-12-12 - 2017-12-19,"Bitcoin’s price is supported by the “animal spirits” of those betting on it, not by economic fundamentals. No wonder the market has been chaotic."
12/15/2017,Bitcoin,2017-12-12 - 2017-12-19,"Our reporters look at the week in tech, including the F.C.C.’s decision to repeal net neutrality and Bitcoin’s continued boom."
12/14/2017,Bitcoin,2017-12-12 - 2017-12-19,And: rich neighbors choose fox-hunting over nature preservation; sharing the joy of DNA analysis; and swapping Secret Santa assignments.
12/14/2017,Crypto,2017-12-12 - 2017-12-19,"While the Trump administration has moved to block one media deal, the president offered support to another — and said that it would be a “great thing” for jobs."
12/13/2017,Bitcoin,2017-12-12 - 2017-12-19,"Disney’s deal to buy film, television and international businesses from Rupert Murdoch’s Twenty-First Century Fox will value the latter at over $75 billion."
12/12/2017,Virtual Currencies,2017-12-12 - 2017-12-19,"I.C.O.s have been big this year, but few established names have touched them. Indiegogo, the crowdfunding site, is looking to change that."
12/12/2017,Bitcoin,2017-12-12 - 2017-12-19,"Our columnist predicted in 2013 that Bitcoin, then a new digital currency, would soon die. He points to five assumptions he got wrong."
12/12/2017,Bitcoin,2017-12-12 - 2017-12-19,"Reducing Republicans’ majority in the Senate by just one seat may have big effects on debates about health care, infrastructure, taxes and more."
12/3/2017,Virtual Currencies,2017-11-27 - 2017-12-04,"Bitcoin and other virtual currencies are booming around the world. In South Korea, regular investors are leading the way for the global frenzy."
12/3/2017,Crypto,2017-11-27 - 2017-12-04,Negotiations and sanctions haven’t stopped the Kim regime. Financial warfare of the kind the Jewish state has waged against Hamas might.
11/30/2017,Bitcoin,2017-11-27 - 2017-12-04,"The documentary follows Cody Wilson, who published plans to create a gun using a 3-D printer."
11/30/2017,Bitcoin,2017-11-27 - 2017-12-04,"The latest landmark — Dow 24,000 — reflects optimism about rising profits and lower taxes, and a seeming imperviousness to unsettling news."
11/29/2017,Bitcoin,2017-11-27 - 2017-12-04,"Over the last decade, a few giant corporations became an inescapable part of online life. Gutting net neutrality would cement their power."
11/28/2017,Bitcoin,2017-11-27 - 2017-12-04,"Tuesday: Transgender surgery at Cedars-Sinai, an assemblyman accused of sexual harassment resigns and the rebel state of Jefferson."
11/27/2017,Bitcoin,2017-11-27 - 2017-12-04,More business moguls come out against the Republicans’ latest stab at tax reform.
11/27/2017,Bitcoin,2017-11-27 - 2017-12-04,"The virtual currency’s price reached a new threshold, leaving critics and enthusiasts alike stunned by its soaring value."
11/6/2017,Ethereum,2017-11-06 - 2017-11-13,The I.R.S. has ruled that some currencies like Bitcoin are an asset and subject to capital gains; donors can also see how the charity spends the money.
10/16/2017,Bitcoin,2017-10-13 - 2017-10-20,"Dara Khosrowshahi will hold his first public interview since becoming chief of the ride-hailing giant, while other speakers include Laurene Powell Jobs."
10/15/2017,Bitcoin,2017-10-13 - 2017-10-20,"While the world is fixated on its nuclear missiles, North Korea has also developed a cyberattack program that is stealing millions and unleashing havoc."
10/13/2017,Bitcoin,2017-10-13 - 2017-10-20,Sheryl Sandberg went on a public relations offensive with lawmakers as investigations into Russian interference in the presidential election continued.
10/3/2017,Blockchain,2017-08-28 - 2017-10-05,"Governments worldwide are looking to electric cars, and the world’s automotive companies are scrambling to prepare."
10/1/2017,Virtual Currencies,2017-08-28 - 2017-10-05,Ethereum has attracted broad interest from both hackers and corporations with its updates on Bitcoin.
10/1/2017,Blockchain,2017-08-28 - 2017-10-05,"Growing in importance but still not well understood, Bitcoin is a virtual currency with a novel background."
10/1/2017,Virtual Currencies,2017-08-28 - 2017-10-05,"Just as China asserts its authority over virtual currencies, other investors in the region are speculating on their value in growing exchanges."
9/29/2017,Virtual Currencies,2017-08-28 - 2017-10-05,"Bitcoin, Ether and their rivals are gaining popularity. But the exchanges where they trade have serious weaknesses that need to be fixed."
9/29/2017,Virtual Currencies,2017-08-28 - 2017-10-05,"The authorities in the United States, South Korea and Switzerland all took steps to cool down the market for so-called initial coin offerings."
9/23/2017,Cryptocurrencies,2017-08-28 - 2017-10-05,"Amid natural disasters, terrorist attacks and the North Korea nuclear crisis, it is not just camouflage-clad cave dwellers who are prepping for doomsday."
9/18/2017,Blockchain,2017-08-28 - 2017-10-05,"Facebook, Google and other technology titans are encountering more resistance to their empire-building, both abroad and at home."
9/15/2017,Ethereum,2017-09-13 - 2017-09-20,"Dogecoin was meant to poke fun at the hype around virtual currency. But now, its creator says, Dogecoin illustrates the risks."
9/14/2017,Blockchain,2017-08-28 - 2017-10-05,The announcement by BTC China raises the specter of other exchanges shutting down Bitcoin trading in the coming weeks.
9/7/2017,Crypto,2017-08-28 - 2017-10-05,Elisabeth Moss returns for Season 2 of the Jane Campion crime series.
