Date,Blockchain,Cryptocurrency
1/1/2017,86,1379
1/2/2017,106,2586
1/3/2017,155,3199
1/4/2017,159,3131
1/5/2017,164,3308
1/6/2017,127,2876
1/7/2017,85,2414
1/8/2017,93,2198
1/9/2017,176,2606
1/10/2017,205,2404
1/11/2017,189,2455
1/12/2017,195,2544
1/13/2017,162,2137
1/14/2017,73,2025
1/15/2017,91,1960
1/16/2017,170,2088
1/17/2017,213,2129
1/18/2017,242,2446
1/19/2017,186,2648
1/20/2017,109,1892
1/21/2017,75,1562
1/22/2017,84,1653
1/23/2017,174,2135
1/24/2017,195,2072
1/25/2017,157,2009
1/26/2017,128,1934
1/27/2017,145,1882
1/28/2017,72,1821
1/29/2017,71,1668
1/30/2017,169,2334
1/31/2017,181,2195
2/1/2017,136,1998
2/2/2017,155,2011
2/3/2017,129,1986
2/4/2017,78,1572
2/5/2017,91,1689
2/6/2017,187,1883
2/7/2017,191,2050
2/8/2017,209,1989
2/9/2017,153,1990
2/10/2017,169,1802
2/11/2017,71,1495
2/12/2017,73,1660
2/13/2017,190,2084
2/14/2017,164,1967
2/15/2017,156,2027
2/16/2017,134,1982
2/17/2017,3914,1823
2/18/2017,64,1775
2/19/2017,77,1789
2/20/2017,120,1976
2/21/2017,132,2149
2/22/2017,147,2077
2/23/2017,153,2039
2/24/2017,121,2093
2/25/2017,3406,2169
2/26/2017,3974,2034
2/27/2017,1597,2170
2/28/2017,215,2494
3/1/2017,149,2669
3/2/2017,177,2593
3/3/2017,163,3860
3/4/2017,126,4312
3/5/2017,136,3422
3/6/2017,215,2813
3/7/2017,213,2501
3/8/2017,172,2196
3/9/2017,179,2406
3/10/2017,1983,2504
3/11/2017,2528,2411
3/12/2017,2831,2397
3/13/2017,5290,2859
3/14/2017,9787,2577
3/15/2017,10604,2453
3/16/2017,10038,2659
3/17/2017,8575,2643
3/18/2017,5108,2301
3/19/2017,5560,2314
3/20/2017,11593,2686
3/21/2017,12829,2605
3/22/2017,12536,2603
3/23/2017,12390,2387
3/24/2017,10789,2219
3/25/2017,5728,1796
3/26/2017,5349,1990
3/27/2017,9853,2419
3/28/2017,10824,2465
3/29/2017,10019,2473
3/30/2017,9911,2456
3/31/2017,8400,2188
4/1/2017,4434,1892
4/2/2017,4594,2066
4/3/2017,9595,2533
4/4/2017,9796,2453
4/5/2017,9936,2304
4/6/2017,9540,2380
4/7/2017,7864,2186
4/8/2017,4299,2024
4/9/2017,4651,1832
4/10/2017,9140,2373
4/11/2017,9590,2387
4/12/2017,9004,2473
4/13/2017,8511,2484
4/14/2017,6157,2117
4/15/2017,4522,1731
4/16/2017,4750,1929
4/17/2017,8412,3051
4/18/2017,10577,3189
4/19/2017,10344,2588
4/20/2017,10314,2487
4/21/2017,9165,2514
4/22/2017,4882,2125
4/23/2017,4837,1896
4/24/2017,9290,3081
4/25/2017,10229,2593
4/26/2017,10538,2614
4/27/2017,11055,2587
4/28/2017,9343,2460
4/29/2017,5651,2104
4/30/2017,5415,2160
5/1/2017,8224,2936
5/2/2017,10771,3140
5/3/2017,11215,3030
5/4/2017,12094,3888
5/5/2017,9575,3490
5/6/2017,5657,2944
5/7/2017,6878,3102
5/8/2017,10724,3888
5/9/2017,11674,4182
5/10/2017,11043,4223
5/11/2017,10961,4056
5/12/2017,9764,4013
5/13/2017,6379,4235
5/14/2017,6147,4181
5/15/2017,11551,9681
5/16/2017,12109,9565
5/17/2017,11774,8483
5/18/2017,11613,7081
5/19/2017,10198,6399
5/20/2017,6139,4988
5/21/2017,6010,5469
5/22/2017,13820,10248
5/23/2017,16233,9742
5/24/2017,17280,10095
5/25/2017,18602,10795
5/26/2017,13690,8452
5/27/2017,8101,5860
5/28/2017,8145,5246
5/29/2017,12531,6428
5/30/2017,15281,6830
5/31/2017,13910,6898
6/1/2017,13288,6701
6/2/2017,11989,5952
6/3/2017,8343,5825
6/4/2017,8321,5201
6/5/2017,13774,7041
6/6/2017,17609,8656
6/7/2017,16624,8785
6/8/2017,14791,7086
6/9/2017,12779,6592
6/10/2017,8275,5905
6/11/2017,9221,7019
6/12/2017,15163,9693
6/13/2017,16148,9642
6/14/2017,16472,9141
6/15/2017,16956,7802
6/16/2017,15069,7283
6/17/2017,9416,5809
6/18/2017,9452,6275
6/19/2017,15594,7424
6/20/2017,17121,8534
6/21/2017,17315,8455
6/22/2017,15918,8319
6/23/2017,13106,7531
6/24/2017,9292,6419
6/25/2017,8655,5637
6/26/2017,14231,7353
6/27/2017,17386,8339
6/28/2017,16076,8756
6/29/2017,15625,7732
6/30/2017,12186,6307
7/1/2017,7861,4898
7/2/2017,8027,5210
7/3/2017,12259,6374
7/4/2017,11494,7700
7/5/2017,13616,6765
7/6/2017,13660,6777
7/7/2017,12109,6906
7/8/2017,7422,5479
7/9/2017,7562,7939
7/10/2017,15316,7617
7/11/2017,14398,8028
7/12/2017,13609,7342
7/13/2017,12082,7669
7/14/2017,10946,6425
7/15/2017,6774,5105
7/16/2017,7070,5180
7/17/2017,11848,6668
7/18/2017,11944,6859
7/19/2017,12340,6302
7/20/2017,12518,6955
7/21/2017,10722,6417
7/22/2017,7188,5258
7/23/2017,9444,5602
7/24/2017,12654,6804
7/25/2017,12807,6791
7/26/2017,12928,6462
7/27/2017,13638,6167
7/28/2017,11778,5644
7/29/2017,7649,4789
7/30/2017,8491,4591
7/31/2017,12664,5699
8/1/2017,13050,6811
8/2/2017,13270,7722
8/3/2017,12432,6243
8/4/2017,9909,5555
8/5/2017,6723,5033
8/6/2017,6991,5108
8/7/2017,11066,6787
8/8/2017,11900,7831
8/9/2017,11563,7385
8/10/2017,11908,7460
8/11/2017,10794,7238
8/12/2017,6970,5900
8/13/2017,7579,6903
8/14/2017,11339,9214
8/15/2017,11032,8469
8/16/2017,12248,8281
8/17/2017,11619,8163
8/18/2017,10140,7363
8/19/2017,6925,6403
8/20/2017,7575,6331
8/21/2017,11255,7669
8/22/2017,14329,8438
8/23/2017,14155,8607
8/24/2017,13385,8417
8/25/2017,11523,7335
8/26/2017,6968,6481
8/27/2017,7388,6544
8/28/2017,11825,7506
8/29/2017,13430,8293
8/30/2017,13844,8826
8/31/2017,13777,9427
9/1/2017,12441,8666
9/2/2017,8868,7485
9/3/2017,9257,7688
9/4/2017,12518,9600
9/5/2017,15629,10203
9/6/2017,15743,9611
9/7/2017,14669,9467
9/8/2017,13287,8112
9/9/2017,8668,6665
9/10/2017,8399,6463
9/11/2017,13202,7854
9/12/2017,14718,8578
9/13/2017,16598,10140
9/14/2017,16428,9834
9/15/2017,13853,9876
9/16/2017,8902,8779
9/17/2017,9111,8763
9/18/2017,15673,12199
9/19/2017,16264,10473
9/20/2017,15244,9464
9/21/2017,13839,8903
9/22/2017,12012,7867
9/23/2017,7630,6345
9/24/2017,8128,6488
9/25/2017,25808,8120
9/26/2017,14564,9026
9/27/2017,14267,9559
9/28/2017,14384,8750
9/29/2017,11843,8123
