Date,High,Low,Open,Close
2013-04-08,266,105,187.5,124.9
2013-04-11,140,54.25,124.9,90
2013-04-14,102,50.01,90,93.07
2013-04-17,136.43,86,93.07,126.62
2013-04-20,144.02,110,126.62,143.48
2013-04-23,166.43,120.09,143.48,136.9
2013-04-26,149.08,122.71,136.9,144
2013-04-29,146.93,91.11,144,106.25
2013-05-02,118.85,79,106.25,115.98
2013-05-05,124.9,97.52,115.98,113.2
2013-05-08,122.5,108.8,113.2,115.64
2013-05-11,119.8,109.42,115.64,111.4
2013-05-14,125.56,103.02,111.4,123.5
2013-05-17,125.31,119.5,123.5,122.02
2013-05-20,126.93,121.1,122.02,126.3
2013-05-23,136,125.36,126.3,133.5
2013-05-26,135.47,124,133.5,132.25
2013-05-29,132.4,126.33,132.25,129.3
2013-06-01,130.1,115,129.3,121.4
2013-06-04,123.5,106.15,121.4,111
2013-06-07,113.19,88,111,106.35
2013-06-10,112.25,100.3,106.35,103.95
2013-06-13,104.7,97.1,103.95,99.9
2013-06-16,113.3,98.9,99.9,108.25
2013-06-19,115.01,107.12,108.25,108.2
2013-06-22,109.98,100,108.2,103.33
2013-06-25,105.49,92.25,103.33,94.66
2013-06-28,100.44,86.01,94.66,88.05
2013-07-01,92.57,72,88.05,80.04
2013-07-04,80.6,65.42,80.04,76.5
2013-07-07,89.84,72.46,76.5,88
2013-07-10,104.17,85,88,98.32
2013-07-13,101.94,92.86,98.32,97.1
2013-07-16,100,86.2,97.1,92
2013-07-19,93.1,88,92,91.6
2013-07-22,97.48,91.6,91.6,96.95
2013-07-25,100.58,93,96.95,98.78
2013-07-28,111.65,98.45,98.78,106.21
2013-07-31,108,101.21,106.21,104.95
2013-08-03,107.77,103.5,104.95,106.56
2013-08-06,106.96,100.96,106.56,102.8
2013-08-09,108.12,102.38,102.8,106.81
2013-08-12,115,104.5,106.81,109.99
2013-08-15,114.69,108.21,109.99,113.38
2013-08-18,125,111.77,113.38,123.3
2013-08-21,124.49,118.02,123.3,119.6
2013-08-24,133,119.14,119.6,131.29
2013-08-27,142.76,128.02,131.29,138.03
2013-08-30,148.7,135.89,138.03,144
2013-09-02,148.91,127.24,144,130.2
