Date,High,Low,Open,Close
2016-07-18,13,10.95,11.03,12.66
2016-07-21,15.27,12.15,12.66,12.63
2016-07-24,13.9,11.73,12.63,13.05
2016-07-27,13.08,12.48,13.05,12.57
2016-07-30,12.56,7.03,12.57,8.3
2016-08-02,11.53,8.09,8.3,11.05
2016-08-05,11.49,10.34,11.05,11.29
2016-08-08,12.67,11.17,11.29,11.68
2016-08-11,12.04,11.08,11.68,11.21
2016-08-14,11.43,10.71,11.21,10.77
2016-08-17,11.35,10.64,10.77,11.28
2016-08-20,11.37,10.87,11.28,11.01
2016-08-23,11.44,10.92,11.01,11.26
2016-08-26,11.29,10.77,11.26,10.95
2016-08-29,12.6,10.94,10.95,12.21
2016-09-01,12.41,11.49,12.21,11.71
2016-09-04,11.86,11.45,11.71,11.59
2016-09-07,12.06,11.29,11.59,12.05
2016-09-10,12.2,11.58,12.05,11.92
2016-09-13,12.81,11.76,11.92,12.61
2016-09-16,13.16,12.21,12.61,12.93
2016-09-19,14.84,12.37,12.93,13.11
2016-09-22,13.46,12.63,13.11,13.05
2016-09-25,13.56,12.8,13.05,13.3
2016-09-28,13.39,13.06,13.3,13.21
2016-10-01,13.56,13.15,13.21,13.32
2016-10-04,13.44,12.5,13.32,12.68
2016-10-07,12.76,11.6,12.68,11.74
2016-10-10,12.23,11.68,11.74,12.02
2016-10-13,12.06,11.76,12.02,11.93
2016-10-16,12.92,11.82,11.93,11.98
2016-10-19,12.26,11.9,11.98,12.06
2016-10-22,12.09,11.08,12.06,11.38
2016-10-25,11.69,10.93,11.38,11.08
2016-10-28,11.64,9.42,11.08,10.91
2016-10-31,11.19,10.32,10.91,10.86
2016-11-03,11.21,10.8,10.86,10.97
2016-11-06,11.04,10.16,10.97,10.64
2016-11-09,10.73,9.64,10.64,9.96
2016-11-12,10.38,9.68,9.96,10.22
2016-11-15,10.38,9.42,10.22,9.53
2016-11-18,9.76,9.43,9.53,9.56
2016-11-21,10.25,8.69,9.56,9.22
2016-11-24,9.75,8.64,9.22,8.91
2016-11-27,9.04,7.8,8.91,8.59
2016-11-30,8.67,7.3,8.59,7.9
2016-12-03,7.92,5.97,7.9,7.61
2016-12-06,8.9,7.39,7.61,8.52
2016-12-09,8.6,8.01,8.52,8.45
2016-12-12,8.54,7.67,8.45,7.76
2016-12-15,7.94,7.47,7.76,7.89
2016-12-18,7.96,7.54,7.89,7.87
2016-12-21,7.92,7.02,7.87,7.23
2016-12-24,7.34,6.98,7.23,7.15
2016-12-27,8.51,7.03,7.15,8.16
2016-12-30,8.54,7.92,8.16,8.33
2017-01-02,11.63,8.18,8.33,10.2
